                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0393,                0.97017,                 1.2593,                0.85066,                0.98196,                0.98478,                0.76887,                0.93418,                0.87216,                 1.1956,                0.00307,                0.00307,                0.00307
                     72,                 1.0376,                0.98472,                 1.2274,                0.85066,                0.98196,                0.98478,                0.76887,                0.93418,                0.87216,                 1.1956,               0.002971,               0.002971,               0.002971
                     73,                0.95489,                  1.017,                 1.1915,                0.96586,                0.98087,                  0.995,                0.76981,                0.85812,                 0.8016,                 1.0939,               0.002872,               0.002872,               0.002872
                     74,                 1.0802,                 1.0613,                 1.3012,                0.95335,                0.97981,                 0.9922,                0.77749,                0.85161,                0.81382,                 1.1082,               0.002773,               0.002773,               0.002773
                     75,                 1.0368,                 1.0048,                 1.2157,                0.93028,                0.95559,                0.98329,                0.77701,                0.83235,                0.83743,                 1.0892,               0.002674,               0.002674,               0.002674
                     76,                0.93576,                0.88776,                 1.1645,                0.93028,                0.95559,                0.98329,                0.77701,                0.83235,                0.83743,                 1.0892,               0.002575,               0.002575,               0.002575
                     77,                0.96451,                0.89663,                 1.1733,                0.93179,                0.97727,                0.98408,                0.75979,                0.85228,                0.84118,                 1.0836,               0.002476,               0.002476,               0.002476
                     78,                 1.0701,                 1.0401,                 1.2309,                0.93651,                0.97727,                0.98651,                0.76849,                0.84743,                0.82621,                 1.0742,               0.002377,               0.002377,               0.002377
                     79,                 1.0482,                 1.0405,                 1.2579,                0.99139,                      1,                  0.995,                0.76249,                0.91907,                0.80576,                 1.1112,               0.002278,               0.002278,               0.002278
                     80,                  1.021,                0.97351,                 1.2045,                0.99139,                      1,                  0.995,                0.76249,                0.91907,                0.80576,                 1.1112,               0.002179,               0.002179,               0.002179
                     81,                0.91684,                 0.8733,                 1.1488,                0.98685,                      1,                  0.995,                0.76278,                  0.928,                0.78689,                 1.1587,                0.00208,                0.00208,                0.00208
                     82,                0.98534,                0.97948,                 1.1885,                0.99194,                      1,                  0.995,                0.76416,                0.90575,                 0.7674,                 1.1755,               0.001981,               0.001981,               0.001981
                     83,                0.94755,                 1.0314,                 1.2639,                0.99327,                      1,                  0.995,                0.78079,                0.89344,                0.74126,                 1.1817,               0.001882,               0.001882,               0.001882
                     84,                 1.0585,                0.99439,                 1.1988,                0.99327,                      1,                  0.995,                0.78079,                0.89344,                0.74126,                 1.1817,               0.001783,               0.001783,               0.001783
                     85,                 1.0777,                0.99707,                 1.3287,                0.99332,                      1,                  0.995,                0.78724,                0.88154,                0.74753,                  1.175,               0.001684,               0.001684,               0.001684
                     86,                0.97417,                0.90091,                 1.2063,                0.99114,                      1,                  0.995,                0.79849,                0.83829,                0.72168,                 1.1522,               0.001585,               0.001585,               0.001585
                     87,                0.98043,                0.95282,                 1.1872,                0.99101,                      1,                  0.995,                0.79419,                0.82853,                0.70557,                 1.1495,               0.001486,               0.001486,               0.001486
                     88,                0.95962,                0.95344,                 1.2604,                0.99101,                      1,                  0.995,                0.79419,                0.82853,                0.70557,                 1.1495,               0.001387,               0.001387,               0.001387
                     89,                0.96842,                0.89292,                 1.1979,                0.99282,                      1,                  0.995,                 0.7782,                0.85112,                0.70863,                 1.1737,               0.001288,               0.001288,               0.001288
                     90,                0.84958,                 1.2382,                 1.1645,                0.99584,                      1,                  0.995,                0.79043,                0.82519,                0.69594,                 1.1354,               0.001189,               0.001189,               0.001189
                     91,                0.76969,                 1.0748,                 1.1075,                0.99207,                      1,                  0.995,                0.78762,                0.79056,                0.72419,                 1.0906,                0.00109,                0.00109,                0.00109
                     92,                0.79523,                 1.1185,                 1.1932,                0.99207,                      1,                  0.995,                0.78762,                0.79056,                0.72419,                 1.0906,               0.000991,               0.000991,               0.000991
                     93,                0.79854,                0.97257,                 1.0868,                0.98833,                0.98925,                  0.995,                0.79723,                 0.7912,                0.76288,                 1.0729,               0.000892,               0.000892,               0.000892
                     94,                0.83181,                  1.093,                 1.1363,                0.98458,                      1,                  0.995,                0.80146,                0.78903,                0.80016,                 1.0635,               0.000793,               0.000793,               0.000793
                     95,                0.77415,                0.99293,                 1.1048,                0.98497,                      1,                  0.995,                0.79381,                 0.7882,                 0.8084,                  1.056,               0.000694,               0.000694,               0.000694
                     96,                0.81424,                 1.1713,                 1.0595,                0.98497,                      1,                  0.995,                0.79381,                 0.7882,                 0.8084,                  1.056,               0.000595,               0.000595,               0.000595
                     97,                0.78702,                 1.0482,                 1.1361,                0.98726,                0.99958,                  0.995,                0.79398,                 0.8113,                0.82205,                  1.061,               0.000496,               0.000496,               0.000496
                     98,                0.79987,                0.99996,                 1.0953,                 0.9862,                0.99393,                  0.995,                0.79259,                0.80907,                0.82401,                 1.0595,               0.000397,               0.000397,               0.000397
                     99,                0.81663,                 1.1825,                 1.0938,                0.98482,                0.99389,                  0.995,                0.79609,                0.79056,                0.81191,                 1.0531,               0.000298,               0.000298,               0.000298
